code,name,zcode
010-008,ТП В ПГТ ЯБЛОНОВСКОМ ОТДЕЛЕНИЯ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ,01008
010-008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПГТ ЯБЛОНОВСКИЙ,01008
010-008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПГТ ЯБЛОНОВСКОМ,01008
010-008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ ПГТ ЯБЛОНОВСКИЙ,01008
010-009,МВД ПО РЕСП. АДЫГЕЯ,01009
010-009,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ШОВГЕНОВСКОМ РАЙОНЕ,01009
010-010,МВД ПО РЕСП. АДЫГЕЯ,01010
010-010,ОТДЕЛОМ ПО ВОПРОСАМ ВНЕШНЕЙ ТРУДОВОЙ МИГРАЦИИ ОФОРМЛЕНИЯ ВИЗ ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ,01010
010-011,ОТДЕЛОМ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ ПО ВОПРОСАМ ГРАЖДАНСТВА БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ,01011
010-101,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ,01101
011-001,МВД РЕСП. АДЫГЕЯ,01101
012-001,УВД Г. МАЙКОПА РЕСП. АДЫГЕЯ,01201
012-002,МАЙКОПСКИМ РОВД РЕСП. АДЫГЕЯ,01202
012-002,ОВД МАЙКОПСКОГО РАЙОНА РЕСП. АДЫГЕЯ,01202
012-003,ОВД ТАХТАМУКАЙСКОГО РАЙОНА РЕСП. АДЫГЕЯ,01203
012-003,ТАХТАМУКАЙСКИМ РОВД РЕСП. АДЫГЕЯ,01203
012-004,КРАСНОГВАРДЕЙСКИМ РОВД МВД РЕСП. АДЫГЕЯ,01204
012-004,КРАСНОГВАРДЕЙСКИМ РОВД РЕСП. АДЫГЕЯ,01204
012-005,ТЕУЧЕЖСКИМ ГРОВД РЕСП. АДЫГЕЯ,01205
012-006,КОШЕХАБЛЬСКИМ РОВД РЕСП. АДЫГЕЯ,01206
012-007,ГИАГИНСКИМ РОВД РЕСП. АДЫГЕЯ,01207
012-008,ШОВГЕНОВСКИМ РОВД РЕСП. АДЫГЕЯ,01208
013-001,ЯБЛОНОВСКИМ ПОСЕЛКОВЫМ ОМ ОВД ТАХТАМУКАЙСКОГО РАЙОНА РЕСП. АДЫГЕЯ,01301
013-001,ЯБЛОНОВСКИМ ПОСЕЛКОВЫМ ОМ ТАХТАМУКАЙСКОГО РОВД РЕСП. АДЫГЕЯ,01301
020-001,МВД ПО РЕСП. БАШКОРТОСТАН,02001
020-001,УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН,02001
020-002,МВД ПО РЕСП. БАШКОРТОСТАН,02002
020-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДЕМСКОМ РАЙОНЕ Г. УФЫ,02002
020-003,МВД ПО РЕСП. БАШКОРТОСТАН,02003
020-003,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛИНИНСКОМ РАЙОНЕ Г. УФЫ,02003
020-004,МВД ПО РЕСП. БАШКОРТОСТАН,02004
020-004,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИРОВСКОМ РАЙОНЕ Г. УФЫ,02004
020-005,МВД ПО РЕСП. БАШКОРТОСТАН,02005
020-005,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЛЕНИНСКОМ РАЙОНЕ Г. УФЫ,02005
020-006,МВД ПО РЕСП. БАШКОРТОСТАН,02006
020-006,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОКТЯБРЬСКОМ РАЙОНЕ Г. УФЫ,02006
020-007,МВД ПО РЕСП. БАШКОРТОСТАН,02007
020-007,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ОРДЖОНИКИДЗЕВСКОМ РАЙОНЕ Г. УФЫ,02007
020-008,МВД ПО РЕСП. БАШКОРТОСТАН,02008
020-008,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СОВЕТСКОМ РАЙОНЕ Г. УФЫ,02008
020-009,МВД ПО РЕСП. БАШКОРТОСТАН,02009
020-009,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ,02009
020-009,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ,02009
020-009,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ,02009
020-010,МВД ПО РЕСП. БАШКОРТОСТАН,02010
020-010,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БАЙМАК,02010
020-011,МВД ПО РЕСП. БАШКОРТОСТАН,02011
020-011,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛЕБЕЙ,02011
020-012,МВД ПО РЕСП. БАШКОРТОСТАН,02012
020-012,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЕЛОРЕЦК,02012
020-013,МВД ПО РЕСП. БАШКОРТОСТАН,02013
020-013,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БИРСК,02013
020-014,МВД ПО РЕСП. БАШКОРТОСТАН,02014
020-014,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. БЛАГОВЕЩЕНСК,02014
020-015,МВД ПО РЕСП. БАШКОРТОСТАН,02015
020-015,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДАВЛЕКАНОВО,02015
020-016,МВД ПО РЕСП. БАШКОРТОСТАН,02016
020-016,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДЮРТЮЛИ,02016
020-016,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ДЮРТЮЛИ,02016
020-017,МВД ПО РЕСП. БАШКОРТОСТАН,02017
020-017,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ИШИМБАЙ,02017
020-018,МВД ПО РЕСП. БАШКОРТОСТАН,02018
020-018,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. КУМЕРТАУ,02018
020-019,МВД ПО РЕСП. БАШКОРТОСТАН,02019
020-019,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЛЕУЗ,02019
020-020,МВД ПО РЕСП. БАШКОРТОСТАН,02020
020-020,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АБЗЕЛИНОВСКОМ РАЙОНЕ,02020
020-020,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. НЕФТЕКАМСК,02020
020-021,МВД ПО РЕСП. БАШКОРТОСТАН,02021
020-021,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ОКТЯБРЬСКИЙ,02021
020-022,МВД ПО РЕСП. БАШКОРТОСТАН,02022
020-022,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. САЛАВАТ,02022
020-023,МВД ПО РЕСП. БАШКОРТОСТАН,02023
020-023,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СИБАЙ,02023
020-024,МВД ПО РЕСП. БАШКОРТОСТАН,02024
020-024,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. СТЕРЛИТАМАК,02024
020-025,МВД ПО РЕСП. БАШКОРТОСТАН,02025
020-025,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ТУЙМАЗЫ,02025
020-026,МВД ПО РЕСП. БАШКОРТОСТАН,02026
020-026,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. УЧАЛЫ,02026
020-027,МВД ПО РЕСП. БАШКОРТОСТАН,02027
020-027,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. ЯНАУЛ,02027
020-028,МВД ПО РЕСП. БАШКОРТОСТАН,02028
020-028,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АБЗЕЛИЛОВСКОМ РАЙОНЕ,02028
020-029,МВД ПО РЕСП. БАШКОРТОСТАН,02029
020-029,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АЛЬШЕЕВСКОМ РАЙОНЕ,02029
020-030,МВД ПО РЕСП. БАШКОРТОСТАН,02030
020-030,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО АРХАНГЕЛЬСКОМУ РАЙОНУ РЕСП. БАШКОРТОСТАН,02030
020-030,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АРХАНГЕЛЬСКОМ РАЙОНЕ,02030
020-031,МВД ПО РЕСП. БАШКОРТОСТАН,02031
020-031,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АСКИНСКОМ РАЙОНЕ,02031
020-031,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АСКИНСКОМ РАЙОНЕ,02031
020-032,МВД ПО РЕСП. БАШКОРТОСТАН,02032
020-032,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АУРГАЗИНСКОМ РАЙОНЕ,02032
020-033,МВД ПО РЕСП. БАШКОРТОСТАН,02033
020-033,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАКАЛИНСКОМ РАЙОНЕ,02033
020-034,МВД ПО РЕСП. БАШКОРТОСТАН,02034
020-034,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАЛТАЧЕВСКОМ РАЙОНЕ,02034
020-035,МВД ПО РЕСП. БАШКОРТОСТАН,02035
020-035,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ РАЙОНЕ,02035
020-035,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ РАЙОНЕ,02035
020-036,МВД ПО РЕСП. БАШКОРТОСТАН,02036
020-036,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БИЖБУЛЯКСКОМ РАЙОНЕ,02036
020-037,МВД ПО РЕСП. БАШКОРТОСТАН,02037
020-037,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЛАГОВАРСКОМ РАЙОНЕ,02037
020-038,МВД ПО РЕСП. БАШКОРТОСТАН,02038
020-038,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУЗДЯКСКОМ РАЙОНЕ,02038
020-039,МВД ПО РЕСП. БАШКОРТОСТАН,02039
020-039,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРАЕВСКОМ РАЙОНЕ,02039
020-040,МВД ПО РЕСП. БАШКОРТОСТАН,02040
020-040,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРЗЯНОВСКОМ РАЙОНЕ,02040
020-041,МВД ПО РЕСП. БАШКОРТОСТАН,02041
020-041,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ГАФУРИЙСКОМ РАЙОНЕ,02041
020-042,МВД ПО РЕСП. БАШКОРТОСТАН,02042
020-042,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДУВАНСКОМ РАЙОНЕ,02042
020-042,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДУВАНСКОМ РАЙОНЕ,02042
020-043,МВД ПО РЕСП. БАШКОРТОСТАН,02043
020-043,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ РАЙОНЕ,02043
020-043,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ РАЙОНЕ,02043
020-044,МВД ПО РЕСП. БАШКОРТОСТАН,02044
020-044,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИАНЧУРИНСКОМ РАЙОНЕ,02044
020-045,МВД ПО РЕСП. БАШКОРТОСТАН,02045
020-045,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИЛАИРСКОМ РАЙОНЕ,02045
020-046,МВД ПО РЕСП. БАШКОРТОСТАН,02046
020-046,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИГЛИНСКОМ РАЙОНЕ,02046
020-047,МВД ПО РЕСП. БАШКОРТОСТАН,02047
020-047,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИЛИШЕВСКОМ РАЙОНЕ,02047
020-047,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИЛИШЕВСКОМ РАЙОНЕ,02047
020-048,МВД ПО РЕСП. БАШКОРТОСТАН,02048
020-048,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛТАСИНСКОМ РАЙОНЕ,02048
020-049,МВД ПО РЕСП. БАШКОРТОСТАН,02049
020-049,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ РАЙОНЕ,02049
020-049,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ РАЙОНЕ,02049
020-050,МВД ПО РЕСП. БАШКОРТОСТАН,02050
020-050,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРМАСКАЛИНСКОМ РАЙОНЕ,02050
020-051,МВД ПО РЕСП. БАШКОРТОСТАН,02051
020-051,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИГИНСКОМ РАЙОНЕ,02051
020-051,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИГИНСКОМ РАЙОНЕ,02051
020-052,МВД ПО РЕСП. БАШКОРТОСТАН,02052
020-052,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КРАСНОКАМСКОМ РАЙОНЕ,02052
020-053,МВД ПО РЕСП. БАШКОРТОСТАН,02053
020-053,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУГАРЧИНСКОМ РАЙОНЕ,02053
020-053,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУГАРЧИНСКОМ РАЙОНЕ,02053
020-054,МВД ПО РЕСП. БАШКОРТОСТАН,02054
020-054,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУШНАРЕНКОВСКОМ РАЙОНЕ,02054
020-055,МВД ПО РЕСП. БАШКОРТОСТАН,02055
020-055,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУЮРГАЗИНСКОМ РАЙОНЕ,02055
020-055,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУЮРГАЗИНСКОМ РАЙОНЕ,02055
020-056,МВД ПО РЕСП. БАШКОРТОСТАН,02056
020-056,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ РАЙОНЕ,02056
020-056,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ РАЙОНЕ,02056
020-057,МВД ПО РЕСП. БАШКОРТОСТАН,02057
020-057,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИШКИНСКОМ РАЙОНЕ,02057
020-057,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИШКИНСКОМ РАЙОНЕ,02057
020-058,МВД ПО РЕСП. БАШКОРТОСТАН,02058
020-058,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИЯКИНСКОМ РАЙОНЕ,02058
020-058,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИЯКИНСКОМ РАЙОНЕ,02058
020-059,МВД ПО РЕСП. БАШКОРТОСТАН,02059
020-059,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В НУРИМАНОВСКОМ РАЙОНЕ,02059
020-060,МВД ПО РЕСП. БАШКОРТОСТАН,02060
020-060,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В САЛАВАТСКОМ РАЙОНЕ,02060
020-061,МВД ПО РЕСП. БАШКОРТОСТАН,02061
020-061,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ РАЙОНЕ,02061
020-061,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ РАЙОНЕ,02061
020-062,МВД ПО РЕСП. БАШКОРТОСТАН,02062
020-062,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ РАЙОНЕ,02062
020-062,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ РАЙОНЕ,02062
020-063,МВД ПО РЕСП. БАШКОРТОСТАН,02063
020-063,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ТАТЫШЛИНСКОМ РАЙОНЕ,02063
020-063,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ТАТЫШЛИНСКОМ РАЙОНЕ,02063
020-064,МВД ПО РЕСП. БАШКОРТОСТАН,02064
020-064,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В УФИМСКОМ РАЙОНЕ,02064
020-065,МВД ПО РЕСП. БАШКОРТОСТАН,02065
020-065,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ФЕДОРОВСКОМ РАЙОНЕ,02065
020-065,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ФЕДОРОВСКОМ РАЙОНЕ,02065
020-066,МВД ПО РЕСП. БАШКОРТОСТАН,02066
020-066,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ РАЙОНЕ,02066
020-066,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ РАЙОНЕ,02066
020-067,МВД ПО РЕСП. БАШКОРТОСТАН,02067
020-067,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧЕКМАГУШЕВСКОМ РАЙОНЕ,02067
020-068,МВД ПО РЕСП. БАШКОРТОСТАН,02068
020-068,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧИШМИНСКОМ РАЙОНЕ,02068
020-069,МВД ПО РЕСП. БАШКОРТОСТАН,02069
020-069,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ШАРАНСКОМ РАЙОНЕ,02069
020-070,МВД ПО РЕСП. БАШКОРТОСТАН,02070
020-070,МП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЖГОРЬЕ,02070
020-070,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЖГОРЬЕ,02070
021-001,МВД РЕСП. БАШКОРТОСТАН,02101
022-001,ДЕМСКИМ РОВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02201
022-001,ДЕМСКИМ РОВД Г. УФЫ,02201
022-002,КАЛИНИНСКИМ РАЙОННЫМ УВД Г. УФЫ,02202
022-002,КАЛИНИНСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02202
022-003,КИРОВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02203
022-004,ЛЕНИНСКИМ РОВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02204
022-004,ЛЕНИНСКИМ РОВД Г. УФЫ,02204
022-005,ОРДЖОНИКИДЗЕВСКИМ РОВД Г. УФЫ,02205
022-005,ОРДЖОНИКИДЗЕВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02205
022-006,ОКТЯБРЬСКИМ РОВД Г. УФЫ,02206
022-006,ОКТЯБРЬСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02206
022-007,СОВЕТСКИМ РОВД Г. УФЫ,02207
022-007,СОВЕТСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН,02207
022-008,БЕЛЕБЕЕВСКИМ ГРОВД РЕСП. БАШКОРТОСТАН,02208
022-008,ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02208
022-009,УВД Г. УФЫ,02209
022-010,БЕЛОРЕЦКИМ ГРУВД РЕСП. БАШКОРТОСТАН,02210
022-010,УВД Г. БЕЛОРЕЦКА И БЕЛОРЕЦКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02210
022-011,УВД Г. НЕФТЕКАМСКА РЕСП. БАШКОРТОСТАН,02211
022-012,ОВД Г. ОКТЯБРЬСКОГО РЕСП. БАШКОРТОСТАН,02212
022-012,ОКТЯБРЬСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН,02212
022-013,УВД Г. САЛАВАТА РЕСП. БАШКОРТОСТАН,02213
022-014,ОВД Г. СИБАЯ РЕСП. БАШКОРТОСТАН,02214
022-014,СИБАЙСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН,02214
022-015,УВД Г. СТЕРЛИТАМАКА РЕСП. БАШКОРТОСТАН,02215
022-016,БИРСКИМ ГРОВД РЕСП. БАШКОРТОСТАН,02216
022-016,ОВД Г. БИРСКА И БИРСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02216
022-017,ИШИМБАЙСКИМ ГРОВД РЕСП. БАШКОРТОСТАН,02217
022-017,ОВД Г. ИШИМБАЯ И ИШИМБАЙСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02217
022-019,КУМЕРТАУСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН,02219
022-019,ОВД Г. КУМЕРТАУ РЕСП. БАШКОРТОСТАН,02219
022-020,ОВД Г. ТУЙМАЗЫ И ТУЙМАЗИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02220
022-020,ТУЙМАЗИНСКИМ ГРОВД РЕСП. БАШКОРТОСТАН,02220
022-021,ОВД Г. УЧАЛЫ И УЧАЛИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02221
022-022,АБЗЕЛИЛОВСКИМ РОВД РЕСП. БАШКОРТОСТАН,02222
022-023,АЛЬШЕЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН,02223
022-024,АРХАНГЕЛЬСКИМ РОВД РЕСП. БАШКОРТОСТАН,02224
022-025,АСКИНСКИМ РОВД РЕСП. БАШКОРТОСТАН,02225
022-026,АУРГАЗИНСКИМ РОВД РЕСП. БАШКОРТОСТАН,02226
022-027,БАЙМАКСКИМ ГРОВД РЕСП. БАШКОРТОСТАН,02227
022-027,ОВД Г. БАЙМАКА И БАЙМАКСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН,02227
022-028,БАКАЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН,02228
